rank,county,year,population,area_km2,density
1,新北市,114,4044831,2052.5667,1970.6
2,臺中市,114,2868465,2214.8968,1295.1
3,高雄市,114,2718545,2952.1226,920.9
4,臺北市,114,2439507,271.79970000000003,8975.4
5,桃園市,114,2355106,1220.954,1928.9
6,臺南市,114,1852477,2191.6531,845.2
7,彰化縣,114,1210206,1074.396,1126.4
8,屏東縣,114,782256,2775.6003,281.8
9,雲林縣,114,650989,1290.8326,504.3
10,新竹縣,114,597235,1427.5369,418.4
11,苗栗縣,114,531172,1820.3148999999999,291.8
12,嘉義縣,114,473181,1903.6367,248.6
13,南投縣,114,467881,4106.436,113.9
14,新竹市,114,455740,104.1526,4375.7
15,宜蘭縣,114,449336,2143.6251,209.6
16,基隆市,114,359836,132.75889999999998,2710.4
17,花蓮縣,114,312807,4628.5714,67.6
18,嘉義市,114,261592,60.0256,4358.0
19,臺東縣,114,208320,3515.2526,59.3
20,金門縣,114,139313,151.656,918.6
21,澎湖縣,114,106716,126.8641,841.2
22,連江縣,114,13621,28.8,473.0
