year,group,rank,county,total_score,source
2025,非六都,1,連江縣,667.71,天下雜誌永續幸福城市大調查
2025,非六都,2,嘉義市,628.0,天下雜誌永續幸福城市大調查
2025,非六都,3,金門縣,614.86,天下雜誌永續幸福城市大調查
2025,非六都,4,新竹市,563.14,天下雜誌永續幸福城市大調查
2025,非六都,5,台東縣,555.43,天下雜誌永續幸福城市大調查
2025,非六都,6,屏東縣,548.57,天下雜誌永續幸福城市大調查
2025,非六都,6,嘉義縣,548.57,天下雜誌永續幸福城市大調查
2025,非六都,8,苗栗縣,530.86,天下雜誌永續幸福城市大調查
2025,非六都,9,澎湖縣,523.71,天下雜誌永續幸福城市大調查
2025,非六都,10,南投縣,514.57,天下雜誌永續幸福城市大調查
2025,非六都,11,宜蘭縣,512.0,天下雜誌永續幸福城市大調查
2025,非六都,12,雲林縣,510.0,天下雜誌永續幸福城市大調查
2025,非六都,13,彰化縣,496.29,天下雜誌永續幸福城市大調查
2025,非六都,14,新竹縣,489.71,天下雜誌永續幸福城市大調查
2025,非六都,15,花蓮縣,475.71,天下雜誌永續幸福城市大調查
2025,非六都,16,基隆市,448.0,天下雜誌永續幸福城市大調查
2025,六都,1,台北市,669.43,天下雜誌永續幸福城市大調查
2025,六都,2,高雄市,656.86,天下雜誌永續幸福城市大調查
2025,六都,3,台中市,610.57,天下雜誌永續幸福城市大調查
2025,六都,4,桃園市,581.14,天下雜誌永續幸福城市大調查
2025,六都,5,新北市,570.0,天下雜誌永續幸福城市大調查
2025,六都,6,台南市,532.57,天下雜誌永續幸福城市大調查
