fund_type,fund_name,item,amount,category
政事型基金,嘉義市環境污染防治基金,基金來源,16730,current
政事型基金,嘉義市環境污染防治基金,基金用途,16367,current
政事型基金,嘉義市環境污染防治基金,賸餘,363,current
政事型基金,嘉義市環境污染防治基金,基金來源,15470,previous
政事型基金,嘉義市環境污染防治基金,基金用途,17764,previous
政事型基金,嘉義市公益彩券盈餘分配基金,基金來源,168942,current
政事型基金,嘉義市公益彩券盈餘分配基金,基金用途,274524,current
政事型基金,嘉義市公益彩券盈餘分配基金,賸餘,-105582,current
政事型基金,嘉義市公益彩券盈餘分配基金,基金來源,150719,previous
政事型基金,嘉義市公益彩券盈餘分配基金,基金用途,261369,previous
政事型基金,嘉義市身心障礙者就業基金,基金來源,1673,current
政事型基金,嘉義市身心障礙者就業基金,基金用途,7035,current
政事型基金,嘉義市身心障礙者就業基金,賸餘,-5362,current
政事型基金,嘉義市身心障礙者就業基金,基金來源,2090,previous
政事型基金,嘉義市身心障礙者就業基金,基金用途,5870,previous
政事型基金,嘉義市地方教育發展基金,基金來源,4734335,current
政事型基金,嘉義市地方教育發展基金,基金用途,4819378,current
政事型基金,嘉義市地方教育發展基金,賸餘,-85043,current
政事型基金,嘉義市地方教育發展基金,基金來源,4704456,previous
政事型基金,嘉義市地方教育發展基金,基金用途,4717102,previous
政事型基金,嘉義市環境教育基金,基金來源,6496,current
政事型基金,嘉義市環境教育基金,基金用途,6689,current
政事型基金,嘉義市環境教育基金,賸餘,-193,current
政事型基金,嘉義市環境教育基金,基金來源,7878,previous
政事型基金,嘉義市環境教育基金,基金用途,7460,previous
政事型基金,合計,基金來源,4928176,current
政事型基金,合計,基金用途,5123993,current
政事型基金,合計,賸餘,-195817,current
政事型基金,合計,基金來源,4880613,previous
政事型基金,合計,基金用途,4845835,previous
