year,month,district,village,households,male,female,population
115,4,東區,荖藤里,2327,2809,3128,5937
115,4,東區,後湖里,1581,1918,2172,4090
115,4,東區,仁義里,1351,1511,1812,3323
115,4,東區,中庄里,1564,1763,1995,3758
115,4,東區,頂庄里,900,1172,1260,2432
115,4,東區,圳頭里,2039,2263,2604,4867
115,4,東區,新店里,1829,2142,2431,4573
115,4,東區,後庄里,1691,2103,2311,4414
115,4,東區,王田里,1165,1131,1381,2512
115,4,東區,東川里,852,891,1030,1921
115,4,東區,太平里,2075,2257,2671,4928
115,4,東區,盧厝里,979,1159,1237,2396
115,4,東區,鹿寮里,439,616,577,1193
115,4,東區,長竹里,1427,1652,1749,3401
115,4,東區,短竹里,1335,1344,1530,2874
115,4,東區,新開里,988,1039,1131,2170
115,4,東區,宣信里,596,646,711,1357
115,4,東區,興南里,788,846,883,1729
115,4,東區,豐年里,589,676,695,1371
115,4,東區,芳草里,1826,1930,2219,4149
115,4,東區,芳安里,974,1113,1263,2376
115,4,東區,頂寮里,1097,1345,1493,2838
115,4,東區,安寮里,1291,1443,1562,3005
115,4,東區,興安里,1768,2150,2308,4458
115,4,東區,興村里,1905,2142,2540,4682
115,4,東區,興仁里,1592,1982,2194,4176
115,4,東區,過溝里,966,1059,1186,2245
115,4,東區,民族里,900,950,860,1810
115,4,東區,朝陽里,831,985,996,1981
115,4,東區,華南里,964,910,1051,1961
115,4,東區,東興里,922,898,977,1875
115,4,東區,中山里,986,941,1082,2023
115,4,東區,中央里,1030,1080,1124,2204
115,4,東區,林森里,1036,1312,1523,2835
115,4,東區,北門里,908,1077,1102,2179
115,4,東區,蘭潭里,1297,1274,1412,2686
115,4,東區,文雅里,1940,1971,2411,4382
115,4,東區,安業里,1007,1081,1245,2326
115,4,東區,義教里,1219,1511,1601,3112
115,4,西區,香湖里,356,426,474,900
115,4,西區,湖邊里,941,1124,1319,2443
115,4,西區,北榮里,1049,1241,1307,2548
115,4,西區,重興里,925,1126,1178,2304
115,4,西區,竹圍里,2419,2596,2889,5485
115,4,西區,新厝里,1810,2434,2595,5029
115,4,西區,保安里,1615,1838,1980,3818
115,4,西區,北湖里,1238,1744,1740,3484
115,4,西區,下埤里,715,950,967,1917
115,4,西區,竹村里,528,652,589,1241
115,4,西區,大溪里,952,1291,1241,2532
115,4,西區,福全里,2111,2181,2470,4651
115,4,西區,西平里,1560,1867,1945,3812
115,4,西區,磚磘里,1828,1954,2242,4196
115,4,西區,港坪里,1580,2034,2142,4176
115,4,西區,頭港里,789,1074,998,2072
115,4,西區,劉厝里,3370,4153,4347,8500
115,4,西區,新西里,962,1152,1191,2343
115,4,西區,書院里,976,975,979,1954
115,4,西區,培元里,778,882,969,1851
115,4,西區,垂楊里,891,1005,1064,2069
115,4,西區,車店里,2736,3304,3647,6951
115,4,西區,福民里,2794,3187,3526,6713
115,4,西區,湖內里,3176,3738,4155,7893
115,4,西區,美源里,1762,1952,2248,4200
115,4,西區,育英里,810,879,1014,1893
115,4,西區,致遠里,987,1012,1174,2186
115,4,西區,光路里,2628,3131,3403,6534
115,4,西區,翠岱里,834,858,911,1769
115,4,西區,自強里,810,896,1028,1924
115,4,西區,永和里,960,1041,1035,2076
115,4,西區,新富里,771,798,841,1639
115,4,西區,文化里,1158,1080,1194,2274
115,4,西區,西榮里,1240,1240,1238,2478
115,4,西區,國華里,722,668,761,1429
115,4,西區,番社里,694,695,721,1416
115,4,西區,導明里,750,814,838,1652
115,4,西區,慶安里,670,825,820,1645
115,4,西區,後驛里,1004,1148,1140,2288
115,4,西區,福安里,1984,2309,2592,4901
115,4,西區,獅子里,1301,1458,1738,3196
115,4,西區,紅瓦里,646,932,935,1867
115,4,西區,保福里,1861,2062,2336,4398
115,4,西區,保生里,2058,2417,2593,5010
115,4,西區,北新里,532,720,700,1420
